Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Beans Red Haricot (Wairimu),-,-,-,Chuka,94.44/Kg,130.00/Kg,4500.00,Tharaka-Nithi,2022-08-02
Beans Red Haricot (Wairimu),-,-,-,Naivasha Market,85.00/Kg,100.00/Kg,,Nakuru,2022-08-02
Beans Red Haricot (Wairimu),-,-,-,Kangemi Market,95.56/Kg,120.00/Kg,,Nairobi,2022-08-02
Beans Red Haricot (Wairimu),-,-,-,Nakuru Wakulima,88.89/Kg,95.00/Kg,,Nakuru,2022-08-02
Beans Red Haricot (Wairimu),-,-,-,Nakuru Top Market,-,130.00/Kg,,Nakuru,2022-08-02
Beans Red Haricot (Wairimu),-,-,-,Ngurubani Market,100.00/Kg,130.00/Kg,1300.00,Kirinyaga,2022-08-02
Beans Red Haricot (Wairimu),-,-,-,Diani Market,120.00/Kg,130.00/Kg,800.00,Kwale,2022-08-02
Beans Red Haricot (Wairimu),-,-,-,Chwele,62.22/Kg,75.00/Kg,990.00,Bungoma,2022-08-01
Beans Red Haricot (Wairimu),-,-,-,Nyamakima,94.44/Kg,100.00/Kg,,Nairobi,2022-08-01
Beans Red Haricot (Wairimu),-,-,-,Kaanwa,100.00/Kg,115.00/Kg,200.00,Tharaka-Nithi,2022-08-01
Beans Red Haricot (Wairimu),-,-,-,Kitale Municipality Market,90.00/Kg,100.00/Kg,300.00,Trans-Nzoia,2022-08-01
Beans Red Haricot (Wairimu),-,-,-,Aram,91.24/Kg,109.49/Kg,150.00,Siaya,2022-08-01
Beans Red Haricot (Wairimu),-,-,-,Gakindu,95.56/Kg,104.17/Kg,1600.00,Nyeri,2022-08-01
Beans Red Haricot (Wairimu),-,-,-,Nakuru Wakulima,88.89/Kg,95.00/Kg,2070.00,Nakuru,2022-08-01
Beans Red Haricot (Wairimu),-,-,-,Nakuru Top Market,-,130.00/Kg,,Nakuru,2022-08-01
Beans Red Haricot (Wairimu),-,-,-,Busia Market,80.00/Kg,125.00/Kg,270.00,Busia,2022-08-01
Beans Red Haricot (Wairimu),-,-,-,Kagio,94.44/Kg,120.00/Kg,,Kirinyaga,2022-08-01
Beans Red Haricot (Wairimu),-,-,-,Kutus,100.00/Kg,111.43/Kg,5850.00,Kirinyaga,2022-08-01
Beans Red Haricot (Wairimu),-,-,-,Soko mpya,77.78/Kg,100.00/Kg,400.00,Nyandarua,2022-08-01
Beans Red Haricot (Wairimu),-,-,-,Eldama Ravine,90.00/Kg,100.00/Kg,350.00,Baringo,2022-08-01
Beans Red Haricot (Wairimu),-,-,-,Kiritiri,100.00/Kg,125.00/Kg,3500.00,Embu,2022-08-01
Beans Red Haricot (Wairimu),-,-,-,Muhoroni,-,100.00/Kg,500.00,Kisumu,2022-07-31
Beans Red Haricot (Wairimu),-,-,-,Malimili Livestock Market,96.77/Kg,130.00/Kg,1140.00,Kakamega,2022-07-31
Beans Red Haricot (Wairimu),-,-,-,Akala,100.00/Kg,125.00/Kg,300.00,Siaya,2022-07-30
Beans Red Haricot (Wairimu),-,-,-,Lomut,138.00/Kg,125.00/Kg,15000.00,West-Pokot,2022-07-30
Beans Red Haricot (Wairimu),-,-,-,Kitengela,90.00/Kg,100.00/Kg,3500.00,Kajiado,2022-07-30
Beans Red Haricot (Wairimu),-,-,-,Kitengela,90.00/Kg,100.00/Kg,3500.00,Kajiado,2022-07-30
Beans Red Haricot (Wairimu),-,-,-,Embu Town,105.56/Kg,120.00/Kg,2000.00,Embu,2022-07-30
Beans Red Haricot (Wairimu),-,-,-,Diani Market,130.00/Kg,140.00/Kg,600.00,Kwale,2022-07-30
Beans Red Haricot (Wairimu),-,-,-,Keumbu,72.00/Kg,88.00/Kg,360.00,Kisii,2022-07-29
Beans Red Haricot (Wairimu),-,-,-,Nyakoe,60.00/Kg,80.00/Kg,4000.00,Kisii,2022-07-29
Beans Red Haricot (Wairimu),-,-,-,Chwele,62.22/Kg,64.00/Kg,3600.00,Bungoma,2022-07-29
Beans Red Haricot (Wairimu),-,-,-,Nyamakima,100.00/Kg,120.00/Kg,,Nairobi,2022-07-29
Beans Red Haricot (Wairimu),-,-,-,Cheptulu,104.00/Kg,125.00/Kg,850.00,Vihiga,2022-07-29
Beans Red Haricot (Wairimu),-,-,-,Nakuru Top Market,-,130.00/Kg,,Nakuru,2022-07-29
Beans Red Haricot (Wairimu),-,-,-,Bondo,122.22/Kg,150.00/Kg,7000.00,Siaya,2022-07-29
Beans Red Haricot (Wairimu),-,-,-,Gakindu,96.67/Kg,100.00/Kg,1650.00,Nyeri,2022-07-29
Beans Red Haricot (Wairimu),-,-,-,Chuka,105.56/Kg,150.00/Kg,2700.00,Tharaka-Nithi,2022-07-29
Beans Red Haricot (Wairimu),-,-,-,Mogotio,90.00/Kg,100.00/Kg,3600.00,Baringo,2022-07-29
Beans Red Haricot (Wairimu),-,-,-,Ngurubani Market,100.00/Kg,130.00/Kg,1200.00,Kirinyaga,2022-07-29
Beans Red Haricot (Wairimu),-,-,-,Daraja Mbili,60.00/Kg,88.00/Kg,2200.00,Kisii,2022-07-29
Beans Red Haricot (Wairimu),-,-,-,Nyamakima,111.11/Kg,130.00/Kg,,Nairobi,2022-07-28
Beans Red Haricot (Wairimu),-,-,-,Kaanwa,100.00/Kg,110.00/Kg,150.00,Tharaka-Nithi,2022-07-28
Beans Red Haricot (Wairimu),-,-,-,Nakuru Wakulima,88.89/Kg,95.00/Kg,,Nakuru,2022-07-28
Beans Red Haricot (Wairimu),-,-,-,Nakuru Top Market,-,130.00/Kg,,Nakuru,2022-07-28
Beans Red Haricot (Wairimu),-,-,-,Eldama Ravine,90.00/Kg,100.00/Kg,500.00,Baringo,2022-07-28
Beans Red Haricot (Wairimu),-,-,-,Kiritiri,100.00/Kg,125.00/Kg,2800.00,Embu,2022-07-28
Beans Red Haricot (Wairimu),-,-,-,Kangari,100.00/Kg,-,450.00,Muranga,2022-07-28
Beans Red Haricot (Wairimu),-,-,-,Wangige,100.00/Kg,130.00/Kg,290.00,Kiambu,2022-07-28
Beans Red Haricot (Wairimu),-,-,-,Aram,91.24/Kg,109.49/Kg,150.00,Siaya,2022-07-28
Beans Red Haricot (Wairimu),-,-,-,Mbita,135.00/Kg,150.00/Kg,1000.00,Homa-bay,2022-07-28
Beans Red Haricot (Wairimu),-,-,-,Diani Market,120.00/Kg,130.00/Kg,800.00,Kwale,2022-07-28
Beans Red Haricot (Wairimu),-,-,-,Majengo Vihiga,-,164.71/Kg,400.00,Vihiga,2022-07-27
Beans Red Haricot (Wairimu),-,-,-,Ngong market,80.00/Kg,120.00/Kg,270.00,Kajiado,2022-07-27
Beans Red Haricot (Wairimu),-,-,-,Mulot,64.44/Kg,75.00/Kg,490.00,Bomet,2022-07-27
